Compound,TD50
1,191.9717546
2,150.6596748
3,59.08422551
4,157.4709607
5,162.9585764
6,173.6059617
7,103.1867003
8,62.45853769
9,132.3042459
10,186.8376192
11,165.3979603
12,315.2247182
13,83.52823133
14,51.20533866
15,181.8293708
16,184.0610201
17,130.6221734
18,162.5740669
19,111.1783233
20,110.000291
21,79.80335692
22,215.1784188
23,199.9534225
24,238.5532334
25,305.3789537
26,242.7520168
27,221.0541301
28,143.8973854
29,282.8687506
30,163.2162861
31,206.0086185
32,194.9696163
33,72.9372807
34,169.0615262
35,77.38272595
36,90.23120988
37,266.6285773
38,127.9558551
39,164.5317587
40,105.9268667
41,104.6684924
42,101.7239825
43,308.8111043
44,81.29901483
45,111.529745
46,134.1064674
47,302.8785677
48,230.7763639
49,445.6361029
50,194.6062193
51,112.905175
52,115.7118589
53,84.16512226
54,90.08522651
55,211.6266553
56,121.8336647
57,72.9372807
58,175.0091171
59,344.8303772
60,148.403781
61,157.8040217
62,158.7845563
63,271.7553793
64,187.4190729
65,237.9424244
66,113.7118619
67,178.8688748
68,226.260688
69,79.74249926
70,140.1774552
71,119.0159664
72,78.3558725
73,76.52015216
74,150.9987806
75,82.84244815
76,210.5146069
77,156.1683708
78,224.2354587
79,85.97480934
80,215.3292228
81,200.224867
82,122.2847562
83,159.9968546
84,110.1356679
85,59.92221486
86,106.1313966
87,72.90265396
88,194.4067555
89,178.5479629
90,156.4466012
91,206.6489415
92,246.5486201
93,238.5810321
94,158.0320121
95,219.3277084
96,142.5857506
97,162.5327963
98,279.7221346
99,188.8647879
100,173.6084279
101,111.3476089
102,228.3873174
103,111.3812277
104,187.9142707
105,194.8590153
106,87.08921871
107,79.80115406
108,126.1645296
109,51.51631671
110,138.3091384
111,174.3531041
112,109.9888629
113,100.9231254
114,96.54101557
115,142.0058439
116,181.4609893
117,240.258807
118,89.65809804
119,182.6809337
120,184.4489583
121,197.0664454
122,124.4150403
123,109.4408121
124,127.7500005
125,116.3336116
126,125.3024123
127,322.7376435
128,118.7829697
129,122.2018013
130,87.81047838
131,144.8007002
132,155.8647693
133,135.1452599
134,142.7001685
135,68.28058217
136,168.347031
137,108.0634512
138,80.83697578
139,223.9174926
140,163.2972551
141,203.1666783
142,190.2555906
143,262.6993458
144,184.2903045
145,200.4186514
146,92.92984709
147,319.118834
148,306.1958861
149,261.2665958
150,182.3421304
151,275.9731351
152,171.4391708
153,80.50442076
154,116.5198273
155,244.7525424
156,276.08155
157,169.0121447
158,135.392922
159,43.47577592
160,228.9314076
161,205.5100103
162,188.7058497
163,199.3987058
164,120.8175606
165,181.4256566
166,158.8066728
167,160.8865407
168,154.5552747
169,277.2032353
170,159.3223611
171,263.7408816
172,240.7557616
173,162.6123387
174,211.3771712
175,45.73791665
176,118.0460259
177,129.1779921
178,53.54754768
179,181.2135263
180,415.0408765
181,201.8624969
182,232.6721627
183,162.8300733
184,211.4640468
185,306.8684827
186,157.8886227
187,171.1927114
188,145.6942376
189,150.9151717
190,283.2433006
191,177.0183014
192,103.7302691
193,138.1950691
194,164.201801
195,162.0514156
196,133.6712676
197,146.4592656
198,48.08148515
199,103.6021614
200,140.625739
201,100.3511752
202,82.39842719
203,15.96350346
204,293.3331174
205,113.3888696
206,234.2830877
207,230.1281286
208,165.5381762
209,115.7763875
210,166.7595444
211,122.1448946
212,141.2354562
213,151.878574
214,99.34749289
215,578.1229234
216,127.3744697
217,284.7475936
218,204.6495591
219,152.4401693
220,177.1251744
221,144.7356605
222,145.1966234
223,149.8080033
224,137.0496125
225,72.8902527
226,130.4810706
227,205.1243901
228,107.5194867
229,116.3339486
230,146.5874528
231,133.3949083
232,181.9605488
233,154.7068348
234,232.4961411
235,66.95781707
236,179.0205283
237,140.5805258
238,160.8222746
239,72.31448096
240,112.3249806
241,99.24260426
242,133.0123742
243,64.93268591
244,70.21617238
245,135.2974623
246,157.5636291
247,185.6688875
248,142.4016458
249,131.2422424
250,114.7064081
251,79.65071256
252,108.5786622
253,145.6494751
254,194.5810705
255,170.5235545
256,160.8222746
257,63.65751939
258,72.31448096
259,146.1055851
260,198.1911345
261,112.3249806
262,123.1520581
263,64.93268591
264,124.7904523
265,173.7814608
266,135.2974623
267,158.1704053
268,188.095347
269,145.0097091
270,13.64135294
271,115.5913477
272,5.176683634
273,113.0078567
274,92.10233057
275,111.2099475
276,183.020104
277,188.3821317
278,140.8453297
279,33.12957363
280,132.3490587
281,56.93475883
282,67.24531612
283,95.33175541
284,175.5081702
285,172.3810754
286,100.9206219
287,93.28171872
288,144.5611908
289,17.99596039
290,131.1021453
291,86.39542966
292,909.7590614
293,162.6889791
294,174.9884089
295,129.2499084
296,183.8239743
297,86.41008573
298,245.1502646
299,291.3602404
300,169.3318536
301,100.7357397
302,240.2608543
303,205.0114855
304,111.4817587
305,184.1737908
306,152.2086928
307,147.9625871
308,157.841881
309,143.6036768
310,96.75929244
311,150.5729944
312,347.1791634
313,132.5419256
314,193.4660366
315,226.1476206
316,185.153813
317,174.8912587
318,163.0302694
319,86.59800607
320,89.40790936
321,205.4567005
322,66.09334309
323,330.3969447
324,100.1454012
325,202.9620972
326,171.3014873
327,106.1074189
328,159.1346513
329,170.7417328
330,201.1368336
331,190.4990856
332,209.5013773
333,134.4217795
334,227.6756299
335,229.7871006
336,242.0607053
337,297.7697002
338,182.6792176
339,409.1104098
340,120.0328973
341,127.6888162
342,289.2144679
343,118.3632265
344,192.4433793
345,208.4253467
346,113.5808193
347,55.48783362
348,82.38008127
349,72.33508541
350,169.6982082
351,314.8066713
352,237.4616779
353,209.4303814
354,236.3282634
355,174.1611219
356,121.8065124
357,189.2837768
358,63.53741797
359,93.11724765
360,171.2757433
361,160.3755104
362,600.243116
363,22.79305029
364,64.68700244
365,142.6619209
366,107.1792349
367,72.87783036
368,120.8973652
369,67.53826086
370,180.5179088
371,92.17559657
372,222.0360101
373,107.6248832
374,82.61714866
